source_id	source_title	target_ids
1	Execution Anomaly Detection in Distributed Systems through Unstructured Log Analysis	
2	Experience Report: System Log Analysis for Anomaly Detection	1
3	Log clustering based problem identification for online service systems	1
4	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning	1;2;3
5	Machine learning to detect anomalies in web log analysis	
6	Detecting Anomaly in Big Data System Logs Using Convolutional Neural Network	4;2;1
7	LogLens: A Real-time Log Analysis System	4;1;2
8	Recurrent Neural Network Attention Mechanisms for Interpretable System Log Anomaly Detection	4
9	Anomaly Detection of System Logs Based on Natural Language Processing and Deep Learning	1
10	Analysis of Network log data using Machine Learning	5;7
11	Improving the system log analysis with language model and semi-supervised classifier	
12	Robust log-based anomaly detection on unstable log data	8;4;1;3
13	A Survey on Log Anomaly Detection using Deep Learning	9;4;6;9;2;1
14	Automatic log analysis with NLP for the CMS workflow handling	
15	Physical Access Log Analysis: An Unsupervised Clustering Approach for Anomaly Detection	1
16	Unsupervised log message anomaly detection	3;4;2
17	A LSTM-Based Anomaly Detection Model for Log Analysis	4
18	A Survey on Automated Log Analysis for Reliability engineering	8;12
19	QLLog: A log anomaly detection method based on Q-learning algorithm	4;3
20	Semi-Supervised Log-Based Anomaly Detection via Probabilistic Label Estimation	12;2;3;4;1